fips,name,category,metro
06113,"Yolo County, California",none,Metro
06115,"Yuba County, California",none,Metro
08001,"Adams County, Colorado",none,Metro
08003,"Alamosa County, Colorado",both,Nonmetro
08005,"Arapahoe County, Colorado",none,Metro
08007,"Archuleta County, Colorado",none,Nonmetro
08009,"Baca County, Colorado",none,Nonmetro
08011,"Bent County, Colorado",high,Nonmetro
08013,"Boulder County, Colorado",none,Metro
08014,"Broomfield County, Colorado",none,Metro
08015,"Chaffee County, Colorado",none,Nonmetro
08017,"Cheyenne County, Colorado",none,Nonmetro
08019,"Clear Creek County, Colorado",none,Metro
08021,"Conejos County, Colorado",high,Nonmetro
08023,"Costilla County, Colorado",both,Nonmetro
08025,"Crowley County, Colorado",high,Nonmetro
08027,"Custer County, Colorado",none,Nonmetro
08029,"Delta County, Colorado",none,Nonmetro
08031,"Denver County, Colorado",none,Metro
08033,"Dolores County, Colorado",none,Nonmetro
08035,"Douglas County, Colorado",none,Metro
08037,"Eagle County, Colorado",none,Nonmetro
08039,"Elbert County, Colorado",none,Metro
08041,"El Paso County, Colorado",none,Metro
08043,"Fremont County, Colorado",none,Nonmetro
08045,"Garfield County, Colorado",none,Nonmetro
08047,"Gilpin County, Colorado",none,Metro
08049,"Grand County, Colorado",none,Nonmetro
08051,"Gunnison County, Colorado",none,Nonmetro
08053,"Hinsdale County, Colorado",none,Nonmetro
08055,"Huerfano County, Colorado",none,Nonmetro
08057,"Jackson County, Colorado",none,Nonmetro
08059,"Jefferson County, Colorado",none,Metro
08061,"Kiowa County, Colorado",none,Nonmetro
08063,"Kit Carson County, Colorado",none,Nonmetro
08065,"Lake County, Colorado",none,Nonmetro
08067,"La Plata County, Colorado",none,Nonmetro
08069,"Larimer County, Colorado",none,Metro
08071,"Las Animas County, Colorado",none,Nonmetro
08073,"Lincoln County, Colorado",none,Nonmetro
08075,"Logan County, Colorado",none,Nonmetro
08077,"Mesa County, Colorado",none,Metro
08079,"Mineral County, Colorado",none,Nonmetro
08081,"Moffat County, Colorado",none,Nonmetro
08083,"Montezuma County, Colorado",none,Nonmetro
08085,"Montrose County, Colorado",none,Nonmetro
08087,"Morgan County, Colorado",none,Nonmetro
08089,"Otero County, Colorado",high,Nonmetro
08091,"Ouray County, Colorado",none,Nonmetro
08093,"Park County, Colorado",none,Metro
08095,"Phillips County, Colorado",none,Nonmetro
08097,"Pitkin County, Colorado",none,Nonmetro
08099,"Prowers County, Colorado",none,Nonmetro
08101,"Pueblo County, Colorado",none,Metro
08103,"Rio Blanco County, Colorado",none,Nonmetro
08105,"Rio Grande County, Colorado",none,Nonmetro
08107,"Routt County, Colorado",none,Nonmetro
08109,"Saguache County, Colorado",persistent,Nonmetro
08111,"San Juan County, Colorado",none,Nonmetro
08113,"San Miguel County, Colorado",none,Nonmetro
08115,"Sedgwick County, Colorado",none,Nonmetro
08117,"Summit County, Colorado",none,Nonmetro
08119,"Teller County, Colorado",none,Metro
08121,"Washington County, Colorado",none,Nonmetro
08123,"Weld County, Colorado",none,Metro
08125,"Yuma County, Colorado",none,Nonmetro
09001,"Fairfield County, Connecticut",none,Metro
09003,"Hartford County, Connecticut",none,Metro
09005,"Litchfield County, Connecticut",none,Nonmetro
09007,"Middlesex County, Connecticut",none,Metro
09009,"New Haven County, Connecticut",none,Metro
09011,"New London County, Connecticut",none,Metro
09013,"Tolland County, Connecticut",none,Metro
09015,"Windham County, Connecticut",none,Metro
10001,"Kent County, Delaware",none,Metro
10003,"New Castle County, Delaware",none,Metro
10005,"Sussex County, Delaware",none,Metro
11001,"District of Columbia, District of Columbia",none,Metro
12001,"Alachua County, Florida",both,Metro
12003,"Baker County, Florida",none,Metro
12005,"Bay County, Florida",none,Metro
12007,"Bradford County, Florida",high,Nonmetro
12009,"Brevard County, Florida",none,Metro
12011,"Broward County, Florida",none,Metro
12013,"Calhoun County, Florida",none,Nonmetro
12015,"Charlotte County, Florida",none,Metro
12017,"Citrus County, Florida",none,Metro
12019,"Clay County, Florida",none,Metro
12021,"Collier County, Florida",none,Metro
12023,"Columbia County, Florida",none,Nonmetro
12027,"DeSoto County, Florida",high,Nonmetro
12029,"Dixie County, Florida",high,Nonmetro
12031,"Duval County, Florida",none,Metro
12033,"Escambia County, Florida",none,Metro
12035,"Flagler County, Florida",none,Metro
12037,"Franklin County, Florida",none,Nonmetro
12039,"Gadsden County, Florida",high,Metro
12041,"Gilchrist County, Florida",none,Metro
12043,"Glades County, Florida",none,Nonmetro
12045,"Gulf County, Florida",none,Metro
12047,"Hamilton County, Florida",both,Nonmetro
12049,"Hardee County, Florida",both,Nonmetro
12051,"Hendry County, Florida",high,Nonmetro
12053,"Hernando County, Florida",none,Metro
12055,"Highlands County, Florida",none,Metro
12057,"Hillsborough County, Florida",none,Metro
12059,"Holmes County, Florida",high,Nonmetro
12061,"Indian River County, Florida",none,Metro
12063,"Jackson County, Florida",none,Nonmetro
12065,"Jefferson County, Florida",none,Metro
12067,"Lafayette County, Florida",none,Nonmetro
12069,"Lake County, Florida",none,Metro
12071,"Lee County, Florida",none,Metro
12073,"Leon County, Florida",high,Metro
12075,"Levy County, Florida",high,Nonmetro
12077,"Liberty County, Florida",none,Nonmetro
12079,"Madison County, Florida",both,Nonmetro
12081,"Manatee County, Florida",none,Metro
12083,"Marion County, Florida",none,Metro
12085,"Martin County, Florida",none,Metro
12086,"Miami-Dade County, Florida",none,Metro
