Name,Club
Dave Jones,Wolverhampton Wanderers
Mick McCarthy,Wolverhampton Wanderers
Terry Connor,Wolverhampton Wanderers
Nuno Espírito Santo,Wolverhampton Wanderers
Bruno Lage,Wolverhampton Wanderers
Steve Davis,Wolverhampton Wanderers
Julen Lopetegui,Wolverhampton Wanderers
Vítor Pereira,Wolverhampton Wanderers
Rob Edwards,Wolverhampton Wanderers
Gary O'Neil,Wolverhampton Wanderers
Ruud van Nistelrooy,Leicester City
