country,year,value,variable
United States,2016,14919.54,Exports
United States,2017,15849.72,Exports
United States,2018,15502.67,Exports
Bangladesh,2000,1000.15,Imports
Bangladesh,2001,1200.21,Imports
Bangladesh,2002,1600.28,Imports
Bangladesh,2003,1800.29,Imports
Bangladesh,2004,2250.39,Imports
Bangladesh,2005,2450.4,Imports
Bangladesh,2006,3250.54,Imports
Bangladesh,2007,3600.63,Imports
Bangladesh,2008,3800.64,Imports
Bangladesh,2009,4000.7,Imports
Bangladesh,2010,4250.73,Imports
Bangladesh,2011,3400.57,Imports
Bangladesh,2012,5000.85,Imports
Bangladesh,2013,5300.91,Imports
Bangladesh,2014,5751.01,Imports
Bangladesh,2015,6376.08,Imports
Bangladesh,2016,6801.18,Imports
Bangladesh,2017,7601.32,Imports
Bangladesh,2018,8101.4,Imports
China,2000,230.06,Imports
China,2001,449.09,Imports
China,2002,3127.52,Imports
China,2003,8833.51,Imports
China,2004,6386.09,Imports
China,2005,19287.32,Imports
China,2006,10589.83,Imports
China,2007,11531.97,Imports
China,2008,6997.2,Imports
China,2009,10904.87,Imports
China,2010,11981.05,Imports
China,2011,24537.19,Imports
China,2012,20330.47,Imports
China,2013,14124.4,Imports
China,2014,8285.43,Imports
China,2015,4406.74,Imports
China,2016,5032.87,Imports
China,2017,5500.92,Imports
China,2018,7001.2,Imports
Indonesia,2000,2650.46,Imports
Indonesia,2001,2356.41,Imports
Indonesia,2002,2228.38,Imports
Indonesia,2003,2150.38,Imports
Indonesia,2004,2200.36,Imports
Indonesia,2005,2200.36,Imports
Indonesia,2006,2400.42,Imports
Indonesia,2007,2700.48,Imports
Indonesia,2008,2400.42,Imports
Indonesia,2009,2700.48,Imports
Indonesia,2010,2500.42,Imports
Indonesia,2011,2500.42,Imports
Indonesia,2012,3137.53,Imports
Indonesia,2013,2989.52,Imports
Indonesia,2014,3345.58,Imports
Indonesia,2015,2941.52,Imports
Indonesia,2016,3391.57,Imports
Indonesia,2017,3550.6,Imports
Indonesia,2018,3750.66,Imports
Turkey,2000,1758.3,Imports
Turkey,2001,2977.53,Imports
Turkey,2002,2265.41,Imports
Turkey,2003,2370.42,Imports
Turkey,2004,3414.58,Imports
Turkey,2005,3501.59,Imports
Turkey,2006,4029.68,Imports
Turkey,2007,3267.58,Imports
Turkey,2008,2919.51,Imports
Turkey,2009,4394.75,Imports
Turkey,2010,3350.59,Imports
Turkey,2011,2382.41,Imports
Turkey,2012,3692.64,Imports
Turkey,2013,4246.74,Imports
Turkey,2014,3675.64,Imports
Turkey,2015,4218.72,Imports
Turkey,2016,3679.64,Imports
Turkey,2017,4000.7,Imports
Turkey,2018,3500.62,Imports
Vietnam,2000,400.07,Imports
Vietnam,2001,435.07,Imports
Vietnam,2002,400.07,Imports
Vietnam,2003,540.09,Imports
Vietnam,2004,690.12,Imports
Vietnam,2005,694.12,Imports
Vietnam,2006,978.15,Imports
Vietnam,2007,1208.2,Imports
Vietnam,2008,1251.2,Imports
Vietnam,2009,1695.28,Imports
Vietnam,2010,1569.27,Imports
Vietnam,2011,1625.27,Imports
Vietnam,2012,2410.43,Imports
Vietnam,2013,3200.56,Imports
Vietnam,2014,4275.72,Imports
Vietnam,2015,4600.78,Imports
Vietnam,2016,5500.92,Imports
Vietnam,2017,6901.19,Imports
Vietnam,2018,7701.33,Imports
