TypeofBreach,BreachLocation,Covered Entity Type,Location of Breached Information,Type of Breach,TypeofBreach (group),Individuals Affected,Status,State,Name of Covered Entity,Covered Entity Type (copy),Business Associate Present,Breach Submission Date
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,47754,Under Investigation,MD,Maryland Health Enterprises DBA Lorien Health Services,Healthcare Provider,No,7/17/2020
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,78070,Under Investigation,MA,NCP Healthcare Management Company,Business Associate,Yes,7/17/2020
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,1505,Under Investigation,UT,Mountain Peaks Family Practice,Healthcare Provider,No,7/20/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,10000,Under Investigation,UT,University of Utah,Healthcare Provider,No,7/20/2020
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,25554,Under Investigation,PA,Highpoint Foot & Ankle Center,Healthcare Provider,No,7/20/2020
Loss,Paper/Films,Healthcare Provider,Paper/Films,Loss,Other,21289,Under Investigation,RI,CVS Pharmacy,Healthcare Provider,No,7/24/2020
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,1237,Under Investigation,TX,Foundation Surgical Hospital of San Antonio,Healthcare Provider,No,7/24/2020
Theft,Paper/Films,Healthcare Provider,"Other Portable Electronic Device, Paper/Films",Theft,Other,72143,Under Investigation,IL,Walgreen Co.,Healthcare Provider,No,7/24/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2553,Under Investigation,CO,Children's Hospital Colorado,Healthcare Provider,No,7/27/2020
Hacking/IT Incident,Email,Healthcare Provider,"Email, Network Server",Hacking/IT Incident,Hacking/IT Incident,6073,Under Investigation,MI,Beaumont Health,Healthcare Provider,No,7/28/2020
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,1084,Under Investigation,CT,Aetna ACE,Health Plan,Yes,7/29/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3127,Under Investigation,WV,Elkins Rehabilitation & Care Center,Healthcare Provider,No,7/30/2020
Hacking/IT Incident,EMR,Healthcare Provider,"Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,7447,Under Investigation,OH,Muskingum Valley Health Centers,Healthcare Provider,No,7/31/2020
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,775,Resolved,MI,"ABA Pathways, LLC",Healthcare Provider,Yes,6/18/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,10630,Resolved,MN,Mille Lacs Health System,Healthcare Provider,No,5/11/2020
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,518,Resolved,PA,Wilkes-Barre General Hospital,Healthcare Provider,Yes,4/27/2020
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,1905,Resolved,PA,Moses Taylor Hospital,Healthcare Provider,Yes,4/27/2020
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,802,Resolved,MN,Medica Insurance Company,Health Plan,Yes,4/15/2020
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,1710,Resolved,MN,Medica Health Plans,Health Plan,Yes,4/15/2020
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,8132,Resolved,CO,"Colorado Department of Human Services, Office of Behavioral Health",Healthcare Provider,No,4/7/2020
Loss,Paper/Films,Healthcare Clearing House,Paper/Films,Loss,Other,500,Resolved,GA,Georgia Department of Human Services,Healthcare Clearing House,No,3/20/2020
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,910,Resolved,FL,"NeoGenomics Laboratories, Inc.",Healthcare Provider,No,3/18/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,9000,Resolved,MN,Lifesprk,Healthcare Provider,No,3/17/2020
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,1713,Resolved,IL,Conagra Brands Welfare Benefit Wrap Plan,Health Plan,No,3/6/2020
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,2610,Resolved,IN,Riverview Health,Healthcare Provider,Yes,2/28/2020
Improper Disposal,Paper/Films,Healthcare Provider,Paper/Films,Improper Disposal,Other,7983,Resolved,VA,Capital Vision Services d/b/a MyEyeDr. (MED Southwest PLLC),Healthcare Provider,No,2/13/2020
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,2487,Resolved,MI,Mercy Health Physician Partners,Healthcare Provider,No,2/10/2020
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,2468,Resolved,IN,Lincoln National Life Insurance Company and its affiliate Lincoln Life & Annuity Company of New York,Health Plan,No,2/7/2020
Unauthorized Access,Network Server,Health Plan,Network Server,Unauthorized Access/Disclosure,Other,9965,Resolved,MD,Original Medicare,Health Plan,No,1/31/2020
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1319,Resolved,CO,Jefferson Center for Mental Health,Healthcare Provider,No,1/30/2020
Hacking/IT Incident,Network Server,Healthcare Provider,"Network Server, Other",Hacking/IT Incident,Hacking/IT Incident,33324,Resolved,VA,"Personal Touch Home Care of VA, Inc.",Healthcare Provider,Yes,1/28/2020
Hacking/IT Incident,Network Server,Healthcare Provider,"Network Server, Other",Hacking/IT Incident,Hacking/IT Incident,24013,Resolved,KY,"Personal Touch Home Care of KY, Inc.",Healthcare Provider,Yes,1/28/2020
Improper Disposal,Paper/Films,Health Plan,Paper/Films,Improper Disposal,Other,4501,Resolved,IA,Iowa Department of Human Services,Health Plan,No,1/27/2020
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,1182,Resolved,MI,Beaumont Health,Healthcare Provider,No,1/24/2020
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,2713,Resolved,IL,Cook County Health,Healthcare Provider,No,1/24/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,33000,Resolved,ME,"InterMed, PA",Healthcare Provider,No,1/8/2020
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,49859,Resolved,MN,Douglas County Hospital dba Alomere Health,Healthcare Provider,No,1/3/2020
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,4195,Resolved,IL,Ann & Robert H. Lurie Children's Hospital of Chicago,Healthcare Provider,No,12/26/2019
Unauthorized Access,Network Server,Health Plan,Network Server,Unauthorized Access/Disclosure,Other,1601,Resolved,GA,AFLAC,Health Plan,No,12/16/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,12230,Resolved,CO,Colorado Department of Human Services,Healthcare Provider,No,12/16/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,5991,Resolved,CT,Aetna affiliated covered entity (ACE),Health Plan,Yes,12/13/2019
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,114466,Resolved,MO,"Truman Medical Center, Incorporated",Healthcare Provider,No,12/5/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,4564,Resolved,NC,Children's Hope Alliance,Business Associate,Yes,12/3/2019
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,9279,Resolved,IL,Beer Industry - Local Union No. 703 Health and Welfare Fund,Health Plan,No,11/28/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,15575,Resolved,VA,"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")",Healthcare Provider,No,11/27/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,812,Resolved,MI,Upper Peninsula Health Plan,Health Plan,Yes,11/25/2019
Hacking/IT Incident,Paper/Films,Healthcare Provider,Paper/Films,Hacking/IT Incident,Hacking/IT Incident,1522,Resolved,FL,"Ronald E. Rosenbaum DMD, PA",Healthcare Provider,No,11/21/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,996,Resolved,MI,Ascension Borgess Hospital,Healthcare Provider,No,11/14/2019
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,37942,Resolved,MN,Children's Minnesota,Healthcare Provider,No,10/25/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,15466,Resolved,IL,Delta Dental of Illinois,Health Plan,No,10/25/2019
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,1442,Resolved,VA, Virginia Department of Behavioral Health & Developmental Services,Healthcare Provider,No,10/25/2019
Loss,Paper/Films,Healthcare Provider,Paper/Films,Loss,Other,4812,Resolved,OH,"The Kroger Co., for itself and its affiliates and subsidiaries",Healthcare Provider,Yes,10/25/2019
Loss,Paper/Films,Healthcare Provider,Paper/Films,Loss,Other,2752,Resolved,OH,"The Kroger Co., for itself and its affiliates and subsidiaries",Healthcare Provider,No,10/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7725,Resolved,OH,"Greater Cincinnati Pathologists, Inc.",Healthcare Provider,No,10/23/2019
Unauthorized Access,Email,Business Associate,Email,Unauthorized Access/Disclosure,Other,612,Resolved,OH,Chronic Care Management Inc.,Business Associate,Yes,10/17/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,944,Resolved,WA,Seattle Cancer Care Alliance,Healthcare Provider,No,10/16/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,5400,Resolved,OR,Monterey Health Center,Healthcare Provider,No,10/11/2019
Theft,Laptop,Business Associate,Laptop,Theft,Other,1000,Resolved,AZ,"Abdul Memon, MD PLLC",Business Associate,Yes,10/11/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,15982,Resolved,TX,South Texas Dermatopathology Laboratory,Healthcare Provider,No,10/7/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,903,Resolved,AR,Arkansas Health Group,Healthcare Provider,Yes,10/7/2019
Hacking/IT Incident,Laptop,Healthcare Provider,Laptop,Hacking/IT Incident,Hacking/IT Incident,850,Resolved,MD,"Euphemia R. Brumskine, MD, LLC",Healthcare Provider,No,10/4/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,68039,Resolved,IN,"The Methodist Hospitals, Inc.",Healthcare Provider,No,10/4/2019
Unauthorized Access,,Health Plan,Other,Unauthorized Access/Disclosure,Other,2000,Resolved,MS,Gary Smith and assoc inc DBA gary smith agency,Health Plan,No,10/4/2019
Unauthorized Access,EMR,Health Plan,Electronic Medical Record,Unauthorized Access/Disclosure,Other,3500,Resolved,VA,Defense Health Headquarters,Health Plan,No,10/4/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,622,Resolved,CA,San Francisco Department of Public Health,Healthcare Provider,Yes,10/3/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,19557,Resolved,AL,University of Alabama at Birmingham,Healthcare Provider,No,10/3/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,564,Resolved,SD,Sioux Falls VA Health Care System,Healthcare Provider,No,10/1/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,9160,Resolved,IN,Goshen Health,Healthcare Provider,No,9/30/2019
Hacking/IT Incident,Email,Business Associate,"Email, Network Server",Hacking/IT Incident,Hacking/IT Incident,912,Resolved,MD,Calibre CPA Group,Business Associate,Yes,9/27/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,1260,Resolved,OH,Premier Gastroenterology Specialists,Healthcare Provider,No,9/18/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,5835,Resolved,CA,Wood Ranch Medical,Healthcare Provider,No,9/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,4674,Resolved,MI,"Paragon Health, P.C.",Healthcare Provider,No,9/16/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,2112,Resolved,WA,Bates Technical College,Healthcare Provider,No,9/13/2019
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,1835,Resolved,CO,"Rocky Mountain Health Maintenance Organization, Inc.",Health Plan,Yes,9/12/2019
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,998,Resolved,IL,Health Care Service Corporation,Health Plan,Yes,9/6/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,874,Resolved,WV,Rural Health Access Corporation dba Coalfield Health Center,Healthcare Provider,Yes,9/6/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,95339,Resolved,OH,UC Health,Healthcare Provider,No,9/4/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,3259,Resolved,IN,East Central Indiana School Trust,Health Plan,No,9/3/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2890,Resolved,MN,Fraser,Healthcare Provider,No,8/30/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,15450,Resolved,PA,Source 1 Healthcare Solutions LLC,Business Associate,Yes,8/29/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,560,Resolved,MO,Employers and Laborers Locals 100 and 397 Health & Welfare Fund,Health Plan,Yes,8/26/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1653,Resolved,IL,The Carle Foundation Hospital,Healthcare Provider,No,8/22/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,19807,Resolved,TX,"NorthStar Anesthesia, P.A.",Healthcare Provider,Yes,8/22/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,9900,Resolved,MA,Massachusetts General Hospital,Healthcare Provider,No,8/22/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,1293,Resolved,CT,Western Connecticut Health Network,Healthcare Provider,No,8/19/2019
Loss,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Loss,Other,604,Resolved,OH,Cleveland Clinic Foundation,Healthcare Provider,No,8/19/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,13000,Resolved,CA,Hospice of San Joaquin,Healthcare Provider,No,8/16/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5466,Resolved,MI,University of Michigan/Michigan Medicine,Healthcare Provider,No,8/16/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5866,Resolved,WA,Community Psychiatric Clinic,Healthcare Provider,No,8/15/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,6641,Resolved,WA,Community Psychiatric Clinic,Healthcare Provider,No,8/15/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3030,Resolved,WA,Community Psychiatric Clinic,Healthcare Provider,No,8/15/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,1182,Resolved,OH,Fairfield Medical Center,Healthcare Provider,No,8/15/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,1182,Resolved,OH,Fairfield Medical Center,Healthcare Provider,No,8/15/2019
Hacking/IT Incident,EMR,Healthcare Provider,"Electronic Medical Record, Network Server, Other",Hacking/IT Incident,Hacking/IT Incident,88399,Resolved,WA,Grays Harbor Community Hospital,Healthcare Provider,No,8/12/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,1269,Resolved,TN,Quorum Health,Healthcare Provider,No,8/11/2019
Loss,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Loss,Other,27004,Resolved,NV,Renown Health,Healthcare Provider,No,8/9/2019
Loss,Paper/Films,Healthcare Provider,Paper/Films,Loss,Other,4738,Resolved,AR,Walmart Inc.,Healthcare Provider,No,8/9/2019
Unauthorized Access,Desktop Computer,Health Plan,"Desktop Computer, Other",Unauthorized Access/Disclosure,Other,3517,Resolved,IL,"IlliniCare Health Plan, Inc.",Health Plan,No,8/9/2019
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,10292,Resolved,NY,Fire Department City of New York,Healthcare Provider,No,8/9/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,1041,Resolved,WI,Wisconsin Department of Corrections,Healthcare Provider,No,8/8/2019
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,7855,Resolved,TX,"Community Health Choice, Inc.",Health Plan,Yes,8/8/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,10650,Resolved,CA,West Hills Hospital & Medical Center,Healthcare Provider,Yes,8/6/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,29644,Resolved,FL,"Integrated Regional Laboratories, LLC",Healthcare Provider,Yes,8/5/2019
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,33730,Resolved,NY,Mount Sinai Hospital,Healthcare Provider,Yes,8/2/2019
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,425749,Resolved,NJ,BioReference Laboratories Inc.,Healthcare Provider,Yes,7/30/2019
Loss,Paper/Films,Healthcare Provider,Paper/Films,Loss,Other,3135,Resolved,AR,Walmart Inc.,Healthcare Provider,No,7/26/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,881,Resolved,MO,Fordland Clinic Inc.,Healthcare Provider,No,7/26/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,4082,Resolved,NY,Laboratory of Dermatopathology,Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,5903,Resolved,AZ,Arizona Dermatopathology,Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,140590,Resolved,NV,"Laboratory Medicine Consultants, Ltd.",Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,8992,Resolved,NH,Seacoast Pathology,Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,43676,Resolved,TX,Austin Pathology,Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,4079,Resolved,NV,Western Pathology,Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,13270,Resolved,NJ,"Pathology Solutions, LLC",Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,820,Resolved,MN,"Hennepin Healthcare System, Inc. dba Hennepin Healthcare",Healthcare Provider,Yes,7/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2399,Resolved,PA,Temple University Health System,Healthcare Provider,Yes,7/25/2019
Improper Disposal,Paper/Films,Healthcare Provider,Paper/Films,Improper Disposal,Other,3000,Resolved,PA,"Cosmetic Surgery Specialists, P.C.",Healthcare Provider,Yes,7/23/2019
Loss,Laptop,Health Plan,Laptop,Loss,Other,1458,Resolved,PA,City of Philadelphia,Health Plan,No,7/19/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,422496,Resolved,,Bayamon Medical Center Corp.,Healthcare Provider,No,7/19/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,99943,Resolved,,"Puerto Rico Women And Children's Hospital, LLC",Healthcare Provider,No,7/19/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,3657,Resolved,WI,"Security Health Plan of Wisconsin, Inc.",Health Plan,Yes,7/19/2019
Unauthorized Access,Email,Business Associate,Email,Unauthorized Access/Disclosure,Other,583,Resolved,MI,"Northwood, Inc.",Business Associate,Yes,7/16/2019
Unauthorized Access,Email,Business Associate,Email,Unauthorized Access/Disclosure,Other,3881,Resolved,MI,"Northwood, Inc.",Business Associate,Yes,7/16/2019
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,2251,Resolved,NV,Comprehensive Cancer Centers of Nevada,Healthcare Provider,No,7/16/2019
Unauthorized Access,Email,Business Associate,Email,Unauthorized Access/Disclosure,Other,5563,Resolved,MI,"Northwood, Inc",Business Associate,Yes,7/15/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,401901,Resolved,NY,"Sunrise Medical Laboratories, Inc.",Healthcare Provider,No,7/15/2019
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,141956,Resolved,NY,"CBLPath, Inc.",Healthcare Provider,No,7/15/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1733836,Resolved,TX,"Clinical Pathology Laboratories, Inc.",Healthcare Provider,No,7/15/2019
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,4478,Resolved,CO,Colorado Eye Center,Healthcare Provider,No,7/15/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,3035,Resolved,CA,"Natera, Inc.",Healthcare Provider,Yes,7/15/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,10251784,Resolved,NC,Laboratory Corporation of America Holdings dba LabCorp,Healthcare Provider,Yes,7/13/2019
Unauthorized Access,Email,Business Associate,Email,Unauthorized Access/Disclosure,Other,5000,Resolved,MI,"Northwood, Inc.",Business Associate,Yes,7/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,500,Resolved,MA,"Rogerson House, Inc.",Healthcare Provider,Yes,7/12/2019
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,13299,Resolved,ME,"Penobscot Community Health Center, Inc.",Healthcare Provider,Yes,7/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,467621,Resolved,CT,"CareCentrix, Inc.",Healthcare Provider,Yes,7/11/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1377,Resolved,MN,Essentia Health - Duluth,Healthcare Provider,Yes,7/10/2019
Unauthorized Access,Paper/Films,Business Associate,Paper/Films,Unauthorized Access/Disclosure,Other,827,Resolved,SC,"Benefitfocus.com, Inc.",Business Associate,Yes,7/10/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,21407,Resolved,MN,St. Croix Hospice,Healthcare Provider,No,7/9/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,14591,Resolved,MN,Nemadji Research Corporation d/b/a California Reimbursement Enterprises,Business Associate,Yes,7/8/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5946,Resolved,WI,Mercy Health System Corporation,Healthcare Provider,Yes,7/2/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,507,Resolved,TX,Memorial Hermann Health System,Healthcare Provider,No,7/2/2019
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,590,Resolved,NC,"Henderson County Urgent Care Centers, Inc. dba Margaret R. Pardee Memorial Hospital",Healthcare Provider,No,7/1/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7989,Resolved,OH,Summa Health,Healthcare Provider,No,6/28/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2904,Resolved,OH,Summa Health,Healthcare Provider,No,6/28/2019
Unauthorized Access,Email,Healthcare Clearing House,"Desktop Computer, Email, Network Server",Unauthorized Access/Disclosure,Other,1600,Resolved,PA,Byham's Insurance Services Inc.,Healthcare Clearing House,No,6/27/2019
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,2154,Resolved,WY,Wyoming Department of Health,Health Plan,No,6/25/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,950,Resolved,IA,University of Iowa Hospitals & Clinics,Healthcare Provider,No,6/25/2019
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,2180,Resolved,IN,"Franciscan Alliance, Inc.",Healthcare Provider,No,6/24/2019
Improper Disposal,Paper/Films,Healthcare Provider,Paper/Films,Improper Disposal,Other,3797,Resolved,CA,Adventist Health Physician Services,Healthcare Provider,No,6/21/2019
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,542,Resolved,CA,Boulevard Surgical Associates,Healthcare Provider,No,6/20/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,1404,Resolved,MI,Henry Ford Health System,Healthcare Provider,No,6/19/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,2000,Resolved,NV,Huntridge Family Clinic,Healthcare Provider,No,6/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,4598,Resolved,MA,Community Healthlink,Healthcare Provider,No,6/17/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,173617,Resolved,TX,"Inform Diagnostics, Inc.",Healthcare Provider,Yes,6/14/2019
