Entity,Day,0 or 1 dose,2 doses,3 doses,4 doses
41-50,2022-02-06,1.5063927,1.2852231,0.0485321,0
41-50,2022-02-13,2.659908,2.7526314,0.38748577,0
41-50,2022-02-20,3.0711586,4.0094333,0.28943768,0
41-50,2022-02-27,1.5510068,1.9054006,0.19216754,0
41-50,2022-03-06,2.3474822,2.3604577,0.28774992,0
41-50,2022-03-13,3.9437153,2.8353398,0.23948665,0
41-50,2022-03-20,1.5882722,0.8334271,0.28696135,0
41-50,2022-03-27,1.5979929,1.2795523,0.095662884,0
41-50,2022-04-03,0,0.4362564,0.1926055,0.98955035
41-50,2022-04-10,1.2098628,0.44555932,0.097553596,0
41-50,2022-04-17,0.8102776,1.3645357,0,0
41-50,2022-04-24,0.4067107,0,0.10034418,0
41-50,2022-05-01,0,0,0.051772535,0
41-50,2022-05-08,0,0,0.055992704,0
41-50,2022-05-15,0.40994358,0,0.12081278,0
41-50,2022-05-22,0,0,0.19593744,0
41-50,2022-05-29,0,0,0,0.11721804
41-50,2022-06-05,0,0,0.08444833,0
41-50,2022-06-12,0.8285313,1.1136353,0.09830164,0
41-50,2022-06-19,0,0,0.3524552,0.28718013
41-50,2022-06-26,0,0.6037626,0,0
41-50,2022-07-03,0,0,0,0
41-50,2022-07-10,0,0.630684,0,0.18580948
41-50,2022-07-17,1.6776413,0,0.331432,0.18091995
41-50,2022-07-24,1.2613628,0.6539196,0.5379024,0.058560215
41-50,2022-07-31,0.8426481,0.665646,0.5738925,0.1718405
41-50,2022-08-07,0.4222545,0,0.40787774,0.22454628
41-50,2022-08-14,0.42321056,0.688416,0.42886338,0.11060546
41-50,2022-08-21,0.42399472,0,0.44716918,0.2732621
41-50,2022-08-28,0,1.4147774,0.23219958,0.05409218
41-50,2022-09-04,0,0.71484226,0.23920068,0.16101469
41-50,2022-09-11,0.85263485,0,0,0.053227957
41-50,2022-09-18,0.8542555,0,0,0.052841388
41-50,2022-09-25,0,0.73720217,0,0.05254866
41-50,2022-10-02,0,0.74146575,0.26538503,0.10466196
41-50,2022-10-09,0,0,0.26835552,0
41-50,2022-10-16,0.42898202,0,0,0
41-50,2022-10-23,0.4292177,1.4927156,0,0
41-50,2022-10-30,0.42935592,0,0.2715414,0.10410914
41-50,2022-11-06,0,1.495383,0.27214217,0.052026674
41-50,2022-11-13,0.85916924,0,0,0
41-50,2022-11-20,0.4296474,0,0,0.10398102
41-50,2022-11-27,2.1486154,0,0.82032883,0.103935845
41-50,2022-12-04,0.42980805,0,0,0.051947784
41-50,2022-12-11,0,0,0,0.20772703
41-50,2022-12-18,0,0,0.5491126,0.103837416
41-50,2022-12-25,0,0,0.27477735,0.051908843
41-50,2023-01-01,0,0,0.2749617,0.051899604
41-50,2023-01-08,0.43010384,0,0.27512813,0.051892303
41-50,2023-01-15,0.86029273,0.7515915,0.5505668,0.20754036
41-50,2023-01-22,0,0,0,0
41-50,2023-01-29,0,0,0.2755823,0.10374326
41-50,2023-02-05,0,0.75227565,0.27572972,0
41-50,2023-02-12,0,0.7524738,0,0
41-50,2023-02-19,0.43034816,0,0.5520775,0.103701144
41-50,2023-02-26,0,0,0,0.15553534
41-50,2023-03-05,0,0.752791,0,0
41-50,2023-03-12,0,0,0,0.051835332
41-50,2023-03-19,0,0,0.2764516,0
51-60,2021-10-10,2.7636333,0.12039975,0,
51-60,2021-10-17,0,0.38598165,0,
51-60,2021-10-24,2.9298234,0.1356299,0,
51-60,2021-10-31,2.9896038,0.5264274,0,
51-60,2021-11-07,3.0608654,0.25622258,0,
51-60,2021-11-14,3.1697228,0.5292831,0,
51-60,2021-11-21,7.3575697,0.89553463,0.06759959,
51-60,2021-11-28,13.450916,1.9943728,0.062015772,
51-60,2021-12-05,3.4727647,0.17876904,0,
51-60,2021-12-12,11.680459,1.1919827,0.056541324,
51-60,2021-12-19,14.86602,1.8132819,0.10902385,
51-60,2021-12-26,4.793956,1.2403624,0.053308543,
51-60,2022-01-02,9.936505,1.3594567,0.1044471,
51-60,2022-01-09,4.0614085,1.7198777,0.10330984,
51-60,2022-01-16,4.169229,2.6668267,0.15095441,
51-60,2022-01-23,6.4275613,2.313717,0.049246456,
51-60,2022-01-30,4.3944454,1.2862343,0.09736795,0
51-60,2022-02-06,16.80051,2.3229668,0.5345346,4.787438
51-60,2022-02-13,13.676617,4.4464426,0.58369845,2.682979
51-60,2022-02-20,15.105916,9.8997,1.1172348,0
51-60,2022-02-27,22.516651,6.5416484,1.4067652,1.8522291
51-60,2022-03-06,15.691955,7.306819,0.78037053,2.769738
51-60,2022-03-13,22.079659,5.769675,0.7341529,1.172828
51-60,2022-03-20,9.942829,4.1374583,0.54682755,0.8194773
51-60,2022-03-27,15.108212,3.0218236,0.79255044,0.40689442
51-60,2022-04-03,10.178506,4.3232293,0.66096836,0.61115915
51-60,2022-04-10,8.991651,1.8909311,0.34249958,0
51-60,2022-04-17,7.7717185,1.2844061,0.17536804,0.22744176
51-60,2022-04-24,1.3052615,0.6541934,0.060597725,0
51-60,2022-05-01,1.3120605,2.6529772,0.19038722,0
51-60,2022-05-08,1.3199229,1.3480086,0.1391048,0
51-60,2022-05-15,2.653787,0.6853587,0.15180542,0
51-60,2022-05-22,2.667876,2.1056473,0.41676217,0
51-60,2022-05-29,0,0,0.38400394,0.088595934
51-60,2022-06-05,1.3470191,0.75039023,0.2274115,0.077141866
51-60,2022-06-12,0,0,0.54116434,0
51-60,2022-06-19,2.7236824,2.4476008,0.32841316,0.19007914
51-60,2022-06-26,2.7386382,1.6827368,0.91889805,0
51-60,2022-07-03,4.128819,1.7190844,1.7957083,0.4134472
51-60,2022-07-10,2.7639198,0,1.6945527,0.17399545
51-60,2022-07-17,4.1656833,1.7670654,1.5677,0.22836721
51-60,2022-07-24,5.578256,0.89814174,0.23871475,0.112276286
51-60,2022-07-31,2.8001792,1.8178843,0.75298935,0.27725038
51-60,2022-08-07,0,1.8434879,1.0574262,0.10956707
51-60,2022-08-14,7.051092,0.9336284,0.55235344,0.32552597
51-60,2022-08-21,2.8301353,1.8886276,1.7183656,0.32300717
51-60,2022-08-28,2.8400216,1.9090163,0.295781,0.21390352
51-60,2022-09-04,5.6967072,2.8866694,1.5184784,0.26597738
51-60,2022-09-11,11.432164,0,0.93856764,0.10578115
51-60,2022-09-18,1.4331986,0.9798926,0.96382135,0.42101032
51-60,2022-09-25,1.4372566,0,0,0.31465885
51-60,2022-10-02,1.4399678,0.99103117,1.9924155,0.20922855
51-60,2022-10-09,1.4430014,0.9936308,1.0058136,0.3133043
51-60,2022-10-16,1.4451076,0,0.6746341,0.05216038
51-60,2022-10-23,1.44655,0.9965916,0.6771719,0.31275085
51-60,2022-10-30,2.8949425,0,0,0.20841052
51-60,2022-11-06,2.8967035,0.9981634,1.0207449,0.20831738
51-60,2022-11-13,4.3483934,1.9973435,0.34100482,0.2082354
51-60,2022-11-20,1.4498848,1.9983014,1.0244397,0.15613785
51-60,2022-11-27,0,1.99988,0.3421611,0.31216556
51-60,2022-12-04,1.450726,0,1.0278056,0.15604389
51-60,2022-12-11,2.902589,5.005606,0,0.5720327
51-60,2022-12-18,1.4518002,2.0033054,1.0299652,0.051994212
51-60,2022-12-25,4.3567924,1.0018233,0.34355643,0.20795111
51-60,2023-01-01,4.358691,0,0.68751913,0.20792809
51-60,2023-01-08,4.359958,1.0020342,1.0317824,0.2079095
51-60,2023-01-15,2.907188,0,0.34407893,0.20789254
51-60,2023-01-22,5.814883,0,1.032457,0.15591341
51-60,2023-01-29,0,1.0025464,0.34432533,0.10393201
51-60,2023-02-05,1.4544609,1.0026067,0,0.20784782
51-60,2023-02-12,0,0,0.6891348,0.20783648
51-60,2023-02-19,0,0,0.6893224,0.051956687
51-60,2023-02-26,1.4557736,0,0.6894317,0.05195464
51-60,2023-03-05,2.9122255,1.0026972,0,0.15585841
51-60,2023-03-12,0,0,0,0.10390193
51-60,2023-03-19,1.4567279,0,0,0.2077977
61-70,2021-10-10,1.8136066,1.1358105,0.09982311,
61-70,2021-10-17,1.8316108,0.34629217,0,
61-70,2021-10-24,1.8451802,0.5428548,0.093526825,
61-70,2021-10-31,4.638219,0.9465341,0.09134222,
61-70,2021-11-07,2.8009765,1.2097847,0,
61-70,2021-11-14,3.297889,2.632215,0.16549839,
61-70,2021-11-21,5.697789,3.9393785,0.07857725,
61-70,2021-11-28,5.26054,4.890151,0.5291869,
61-70,2021-12-05,5.782631,6.6543436,0.2204895,
61-70,2021-12-12,9.238549,5.209064,0.14457114,
61-70,2021-12-19,9.812531,4.433548,0.42575747,
61-70,2021-12-26,3.9563613,3.319077,0.42089933,
61-70,2022-01-02,5.9874263,1.5314249,0.2773327,
61-70,2022-01-09,6.018356,4.2589664,0.2755973,
61-70,2022-01-16,2.5232644,2.4060006,0.6783248,
61-70,2022-01-23,4.570245,6.1161246,0.3345502,
61-70,2022-01-30,7.149058,5.968501,0.26642174,0
61-70,2022-02-06,9.741192,10.402496,1.6652356,5.773672
61-70,2022-02-13,9.78131,22.765598,3.001689,0
61-70,2022-02-20,15.5105295,23.840427,3.738802,2.9281719
61-70,2022-02-27,15.061023,27.622274,2.9495282,2.1879444
61-70,2022-03-06,15.123859,18.984158,3.8361564,1.4940202
61-70,2022-03-13,14.130207,21.488781,3.6330206,0.3584178
61-70,2022-03-20,13.122877,15.054195,3.0467455,0.40146214
61-70,2022-03-27,4.7378645,9.231242,2.6038728,0.6354562
61-70,2022-04-03,6.859688,7.3263907,2.2517798,0.42265904
61-70,2022-04-10,6.3458486,9.597236,1.9060156,0.39023477
61-70,2022-04-17,3.1791954,3.252914,1.0704517,0.24681394
61-70,2022-04-24,3.1838515,5.51645,1.6898077,0.11773044
61-70,2022-05-01,1.5937948,2.2341127,1.0217487,0.34255335
61-70,2022-05-08,1.0640845,2.2619061,0.6195489,0.10909646
61-70,2022-05-15,2.6634989,3.439026,0.3305796,0.31293288
61-70,2022-05-22,2.132958,2.3381968,0.8928205,0.29834864
61-70,2022-05-29,2.1350071,1.1968881,1.4187444,0.093081266
61-70,2022-06-05,1.0685701,1.2363538,1.884073,0.08726262
61-70,2022-06-12,1.6043468,0,0.2735035,0.33122864
61-70,2022-06-19,2.1414766,3.964164,1.9334133,0.9479946
61-70,2022-06-26,0.5358942,5.4154315,2.8265057,0.77212626
61-70,2022-07-03,3.7547605,0,3.7791038,0.22815856
61-70,2022-07-10,2.6837711,4.1685195,3.5598168,0.45196822
61-70,2022-07-17,2.6863089,2.803594,5.378991,1.0451818
61-70,2022-07-24,3.2262921,5.6687737,0.8703031,1.0352824
61-70,2022-07-31,3.766539,4.291907,1.8070928,0.51412714
61-70,2022-08-07,2.691906,1.4452747,5.173208,0.6564264
61-70,2022-08-14,1.6161094,5.841292,3.412803,1.1599178
61-70,2022-08-21,4.312157,8.835613,5.0223746,0.9378907
61-70,2022-08-28,1.6179048,7.415867,4.1306953,0.646502
